author,title,abstract,jel
"Henry M. Levin|Pedro Telhado Pereira|Karsten Reuss|Manfred Laucht|Katja Coneus|Giorgia Casalone|Carmen Aina|Eliana Baici|Maria A. Garcia Valinas|Manuel Antonio Muñiz Pérez|Jose Manuel Cordero Ferrera|Martí Franquesa Oliveres|Adrián Zancajo Silla","Investigaciones de Economía de la Educación 5","Durante los últimos años se han desarrollado varios trabajos que evidencian la existencia de un menor rendimiento escolar del alumnado de origen inmigrante. En la reciente evaluación realizada al alumnado de último curso de primaria en Cataluña se aprecian, entre el alumnado de origen extranjero, diferentes resultados en la prueba dependiendo de su origen. Este trabajo pretende analizar, haciendo uso de datos del Departament dEducació de la Generalitat de Catalunya y a través de técnicas econométricas, si existen distintos patrones de rendimiento académico según la zona de origen de este alumnado inmigrante.",I
"Héctor Ricardo Gertel|Roberto Giuliodori|María Luz Vera|Guadalupe Bastos|Sonia Costanzo|José Garcia Clavel|Javier Balibrea Cárceles|Piergiacomo Sibiano|Giuseppe Catalano|Vincent Vandenberghe|Michèle Belot|Juncal Cuñado|Fernando Pérez de Gracia|Edna Maria Villarreal Peralta|Carlos Martinez de Ibarreta Zorita|Isabel Muñoz San Roque|María Josefa Peralta Astudillo|Lourdes Fernández Rodríguez|Susan Carabias López|Pilar Melara San Román|Marta Rahona López|Inés P. Murillo Huertas|María del Mar Salinas Jiménez|Mercedes Teijeiro Álvarez|María Jesús Freire Seoane|Mario Rueda Narváez|Mª Lucía Navarro Gómez|Andrea Paola Doneschi Bonilla|Cecilia Velázquez Batistessa|Victoria Novas Liachinsky|Immaculada Vilardell Riera|Manuel Álvarez Gómez|Andrea Paola Doneschi Bonilla|Cecilia Velázquez Batistessa|Victoria Novas Liachinsky","Investigaciones de Economía de la Educación 5","En un contexto de creciente aumento de la matrícula universitaria, cabe preguntarse cómo podría financiarse el necesario aumento del gasto destinado a la educación superior, en un entorno de restricciones macroeconómicas y stress fiscal. Una de las opciones consiste en que los egresados contribuyan al financiamiento vía un impuesto al graduado, justificado por la existencia de un retorno privado. El presente estudio consiste en el análisis del Fondo de Solidaridad y su Adicional, una de las fuentes de financiamiento extrapresupuestales de la educación superior pública uruguaya. El actual diseño del Fondo de Solidaridad y su Adicional podría mejorarse en términos de equidad, vinculando la contribución de los universitarios a sus ingresos. Queda planteada la posibilidad de una profundización del sistema, con el objetivo de aumentar la recaudación, permitiendo así una mayor recuperación de costos y el otorgamiento de un mayor número de becas.",I
"Rosario Scandurra|Héctor Gertel|Sofía Picasso|Guillermo A. Coseani|Manuel M. Molina Lopez|Fábio Waltenberg|Luis Fernando Gamboa Niño|Natalia Krüger|Felipe Martins|Danielle Machado|Maria Ines Barbosa Camargo|Carlos Giovanni González Espitia|David Rodeiro Pazos|Sara Fernández López|Maria Jesus Rodríguez Gulías|María Milagros Vivel Bua|Jorge Luis Martínez-Talavera|Angélica Beatriz Contreras Cueva|María Olga González Morales|José Antonio Álvarez-González|Gintare Malisauskaite|Fábio Waltenberg|Ariana Britto|Caio Sato|Eva María de La Torre García|Fernando Casani|Carmen Perez-Esparrells|Carolina Zayas Márquez|Santos Lopez Leyva|Patricia Moctezuma Hernández|Martin Machacek|Eva Kolcunová|Jana Závacká|Juan Cándido Gómez Gallego|María Concepción Pérez-Cárceles|Angela Besana|Tamás Keller|Dino Alves|Ana Balcao Reis|Carmo Seabra|Luis Catela-Nunes|María Marta Formichella|María Verónica Alderete|Gisela Amanda Di Meglio|Carmo Seabra|Marta Rosado|Juliana Maria Aquino|Pedro Oliveira|Elaine Pazello|José Manuel Cordero Ferrera|Manuel Muñiz Pérez|Rosa Simancas Rodríguez|Julio del Corral Cuervo|Manuel Villasalero|José María Pérez de la Cruz|José Luis González Quejigo|Vanesa Berlanga Silvente|Pilar Figuera Gazo|Ernest Pons|Oscar Montes Pineda|Luis Rubalcaba","Investigaciones de Economía de la Educación 10","Results of the Program for International Student Assessment (PISA2012) of the OECD conclude that two of the strong education performers countries, Finland and Korea, have been able to effectively educate every child regardless their socioeconomic level. To do so, each country has implemented different strategies, leading to very different forms of education provision. While Finnish emphasise on high trained and empowered teachers, student early intervention and weekly (multidisciplinary) team teachers meetings, Koreans encourage student hard work (in and out of school) and active learning by integrating ICTs in their daily learning (digital textbooks and cyber-home) which is complemented with parent support/interest. These two ways of providing education clearly raises the question of the role played by human resources and/or technology in education provision. To do so, we use each countries individual sample of the PISA-2012 database at student and school levels, and given the nested nature of the data, we employ multilevel models. Estimations have been made from a comparative approach, in a case-to-case basis. Results suggest that human resources and technology influence student outcomes in both cases. Yet, for both countries a common set of technologies influence the overall set of outcomes.",I
"Russell Pittman|Gerald R. Bodisch|William W. Nye","Competitive Advocacy Opportunity: Zeroing in U.S. Antidumping Enforcement","Almost all countries have antidumping laws which regulate their imports. The United States and other countries enforce these laws within the terms of the World Trade Organization (WTO). There is a difference between U.S. enforcement and the enforcement approach of other countries, however. The United States­but not other countries of which I am aware--now uses 'zeroing' in its determination of whether imports are dumped. The use of 'zeroing' will almost always increase the level of any antidumping duty, and will sometimes create a duty where none would have been imposed, had the methodology not been used.",F
"Sergiu Tamas|Dragos Palaghita|Bogdan Vintila|Mihai Doinea|Bogdan Vintila|Dragos Palaghita|Mihai Ristea|Gheorghe Lepadatu|Corina Graziella Dumitru|Octavian-Liviu Olaru|Constanta-Aurelia Chitiba|Livia Irina Olaru","Signs of Moderate Recovery in the World Economy","The recession in the OECD area is projected to bottom out in the second half of 2009, a",M
"Ion Ionescu|Viorica Ionascu|Andreea Ileana Danielescu|Georgeta Ilie|Octavian-Liviu Olaru|Livia-Irina Olaru","Foreign Trade Growth, Prerequisite for Economic Development of Emerging Asia","To boost their growth prospects through international trade, countries in developing Asia need to pursue different strategies",M
"Viorica Ionascu|Tatiana Corina Dosescu|Bogdan Nicolae Toader|Gratiela Ghic|Gheorghe V. Lepadatu|Doina Maria Tilea|Iacob Baciu","The FiscalAccountancy Correlation During the Globalization age. Features Specific","The member countries of European Union have included in their competence list the",M
"Gabriel I. Nastase","Methods of Evaluation of Intangible Assets","An important aspect of accounting is the accounting for the exploitation of industrial",M
"Ma Nevila Rama|Bashkim Rama|Péter Várnagy|Gheorghe Lepadatu","Disaggregated Financial-Accounting Information for Users (Concrete Measures","With the increased complexity of business and with the growing popularity of the",M
"Corina Dumitrescu|Ioana Vasiu|Dumitru Mazilu|Cristiana Cristureanu|Ana Bobirca","Measuring the International Competitiveness of the Services Sector in the EU - Romania Vs 25","Services have become an important and growing sector of the world economy,",M
"Ion Velcea|Daniela Irimie|Corina Adriana Dumitrescu|Dragos Marian Radulescu|Aurel Negucioiu","Metropolization  A System of Equations with Many Unknowns","At present, we acknowledge more and more that metropolis and metropolization",R
"Gheorghita Caprarescu","The Cultural Factors with Major Influences Upon The Management of the Romanian Firms","The authors main aim is to identify the factors with major influence on the",M
"Octavian-Liviu Olaru|Constanta-Aurelia Chitiba","The Effects of Internalization Process on the EU-27 Foreign Trade","The European Unions trade grew strongly between 2002 and 2007, both with the",M
"Georgeta Ilie|Alexandru Burda|George Cornel Dumitrescu|Raluca Georgiana Moscu|Carmen-Judith Grigorescu|Ligia Prodan|Mirela Turkes|Irina Raicu|Ioan Vija|Diana Miruna Hancu|Ion Stanciu|Emilia Pascu|Florin  Mihai Magda|Mirela Niculae|Mihaela Simionescu|Tiberiu Tanase|Anca Savu|Daniela Iuliana Radu|Victoria Postolache|Florian Rapan|Alina Gheorghe|Florea Parvu|Mirela Turkes|Emil Scarlat|Radu Ioan Vija|Irina Raicu|Mirela Niculae|Beatrice-Tanta Strat|Marius Eugen Radu|Daniel Larentiu Stefan|Viorel Craciuneanu|Eleonora Mihaela Constantinescu","Strategic Marketing Developments in Informational Society","The market relation is structurally reshaped in the context of informational society, which",M
"Imre Stefan|Balwant Singh Mehta|Nidhi Mehta","ICT and Socio-Economic Empowerment of Rural Women: Case of Mobile Phone in India","The concept of gender empowerment is a common concern all over the World. This issue has",M
"Daniel Larentiu Stefan|Viorel Craciuneanu|Mirela-Mihaela Dogaru|Irina Donciu|Gabriel I. Nastase|Mirela-Mihaela Dogaru|Irina Donciu|Gheorghe Ciobota|Mirela-Mihaela Dogaru|Dan-Marin Boaja|Robert Chira|Nicoleta Magdalena Iacob|Costinela-Lumini?a Defta|Valentina-Vasilica Zaharia|Mirela-Mihaela Dogaru|Dan-Marin Boaja|Gabriel I. Nastase|Sorin Adrian Ciupitu|Valentina-Vasilica Zaharia|Mirela-Mihaela Dogaru|Dan-Marin Boaja|Viorica Ionascu|Gheorghe Lepadatu","Intra-Community Trade","Free movement of goods is a regime under which goods do not encounter at borders, no hurdle set",M
"Octavian-Liviu Olaru|Constanta-Aurelia Chitiba|LiviaIrina Olaru","Upward Revision of the Global Economy Trend","Following the deepest global downturn in recent history, economic growth solidified",M
"Popescu Mihaela Agatador|Mihai Adrian Hotca|Margaux Tharin|Alina Gabriela Brezoi|LiviaIrina Olaru","Climate Change and European Union Member Economies","Climate change affects us all both global and personal level. In recent years, we have",F
"Virgil Nicula|Gheorghe V. Lepadatu|Doina Maria Tilea","ActuArial Accounting  A Branch of the Financial Accounting","The opening of the accounting to the actuarial calculation is a normal consequence of",M
"Marin Andeica|Vasile Deac|Gheorghe Lepadatu","Cost Information in Business Management","The production and the selling costs level represents in business management the",M
"Gheorghe Cârstea|Constantin Bâgu|Vasile Deac","The Prices Paradoxes in the Context of the Current Economic and Financial Crisis","We already feel the effects of the economical and financial crisis, and theyre going",M
"Popescu Manoela","The Negotiation Approach According to the Universal Valid Principles  A Necessity in the Actual Economic Context","The negotiation is a science based on several other sciences such as: philosophy,",M
"Corina Dumitrescu|Ioana Vasiu|Ion Ionescu|Mihaela Mocanu|Octavian-Liviu Olaru|Constanta-Aurelia Chitiba|Livia-Irina Olaru","International Tourism at Crossroad Between the Recent Economic Recession and the","As a result of the extremely volatile world economy in 2008, tourism demand slowed",M
"Viorica Ionascu|Dominic Perez-Danielescu|Marius Deac|Radu Danciu|Gheorghe Lepadatu","The Importance of the Cost Information in Making Decisions","The cost information system plays an important role in every organization within the",M
"Andrei Octavian Paraschivescu","The Harmonization of the PPF Strategy with the Requirements of the ISO 9001 and ISO 9004","The complex and correct evaluation of the requests and of the clients or beneficiaries",M
"Cezar Militaru|Adriana Zanfir|Andreea Baltaretu|Daniel Laurentiu Stefan|Adina Musetescu","How to Achieve a Competitive Advantage","In order to succeed in any market a company has to decide which strategy is more appropriate",M
"Luminita Georgeta Jalba","Problematical Issues Concerning the Necessity of Adopting a Law Referring to the Accounting Law in Romania in the Present Context","The article, having as theme on the necessity of a right accounting in Romania in the current",M
"Daniela Penu|Vadim Dumitrascu|Roxana Arabela Dumitrascu|Petru Balogh|Pompiliu Golea|Valentin Inceu|Luminiþa Georgeta Jalba","Problematical Interdependence between Accounting and Corporate Government in Nowadays Context","This article, having as topic: Problematical interdependence between accounting",M
"Arsim Gjinovci|Sorin Adrian Ciupitu|Ioana-Bianca Berna","The China-ASEAN Free Trade Area. Transferring the Halfhearted Evidence","The Association of Southeast Asian Nations, founded in 1967, as the organism representative",F
"Sorin Gresoi|Alina Gheorghe","Continuous Improvement Strategy - Viable Strategy for Romanian Companies","This paper presents, the first, a few general considerations on the economic strategies of the",M
"Georgeta Ilie|Luminiþa Georgeta Jalba","Classicism and Modernity in the Information System on Financia Performance","The article concerning the subject of classicism and modernity in the informational",M
"Roxana Ionescu","The Insurance Market and Social Wealth","Over time, people and their  activities were subject to risk. These risks cause",I
"Roxana Arabela Dumitrascu|Vadim Dumitrascu|Alina Gheorghe|Silvia Iftime|Luminiþa Georgeta Jalba","The Conception and Design of a Marketing Demand and Supply of the Accounting Information. The Bookkeeping and the Accounting Services in","The article having as theme The marketing conception and design of the",M
"Sorin Adrian Ciupitu|Iuliana Cenar|Letitia Maria Isac|Elena Grigore|Andrada Mihaela Trusca|Roxana-Mariana Popescu|Onkar Nath Mishra|Saurabh Gupta|Luminita Georgeta Jalba","Management and Internal Audit in the Current Context","The article on Management and internal audit in the current context brings in",M
"Adriana Zanfir|Roxana Sarbu|Cezar Militaru|Mihai Marinescu","The Importance of Respecting Patients Rights in the Context of the Interdependence between Public Health Services and Romanian Economic Services","Health services have their very precise place inside a countrys economy and this thing cannot be denied.",I
"Octavian-Liviu Olaru|Constanta-Aurelia Chitiba|LiviaIrina Olaru","International Trade Rebound, After the Sharpest Decline in More Than 70 Years","Under the influence of the global economy recession, the world goods exports, in",M
"Sergiu Tamas|Ionel Bostan","Comparative Study Regarding the Legilative Framework of the Financial Reporting in USA and EU","The objective of this paper is to present difficulties which may arise from adopting",M
"Ala Roller|Ana Berdila|Dorian Nacu|Virgil Baluta|Bogdan Vintila|Dragos Palaghita|Cezar Militaru|Cristian-Stefan Craciun|Bogdanel Dragut|Adriana Zanfir|Adina Pavel","Cultural Influences on International Managers Activity","In the current economic context appears a lot of problems because the",M
"Dragos Palaghita|Bogdan Vintila|Magdalena Mihai|Constantin Staicu|Anca Ciumag","The Opportunity and Specificity of Accounting Information Related to the Entry of","In order to prepare this work, we considered the particular importance of accounting",M
"Dumitru Mazilu|Dominic PerezDanielescu","Causes That Made Romania and Bulgaria the E.U. Poorest Countries","The paper stresses the main causes that transformed Romania from a rich country due to",F
"Gheorghe Lepadatu","Developments in the Romanian Accounting System Architecture due to the Implementation of IFRS (I)","This paper presents the result of a research developed several years concerning the accounting",M
"Ion Stanciu|Oana Mihaela Orheian|Luminiþa Cecilia Crenicean|Luminita Cecilia Crenicean|Manoela Popescu|Constantin Baron|Narcisa Isaila|Viorica Ionascu|Argentina Velea|Aurel Serb|Costinela - Luminita Defta|Nicoleta Magdalena Iacob|Marius Cristian Apetrei|Gheorghiþa Caprarescu|Catalina Bonciu|Daniela Georgiana Stancu|Georgiana Anghel|Nicolae Iuga|Laurentiu Batin|Mariana Balan|Valentina Vasile|Simona Maria Stanescu|Natalia Palii|Cipriana Sava|Dragos Marian Radulescu|Adina Musetescu|Ana-Maria Dinu","The Transnational Dimension of the Economic Activity: A QuantitativeE and a Qualitative Approach","Due to the current globalization phenomenon it is a very common practice for the local companies",F
"Teodor Toderas|Traian Cracea|Ion Gr. Ionescu|Peter Tarchila|Ion Ghizdeanu|Dorin Jula|Marioara Iordan|Mihaela Nona Chilian|Tiberiu Diaconescu|Gilda Rusu-Zagar|Andrei Iorga|Octavian Iorga|Catalin Rusu-Zagar|Mihaela Mocanu|Lilia Taranenco (Hajdeu)|Gilda Rusu-Zagar|Andrei Iorga|Octavian Iorga|Catalin Rusu-Zagar|Mihaela Mocanu","Implementation of the Management Systems for Health and Safety at Work in Romania","Health and safety at work has become one of the most substantial and important sectors in the",I
"Georgiana Aron|Gheorghita Caprarescu|Daniela Georgiana Stancu","General Coordinates of the European Social Policy","Social policy defines the set of public policies that target the achievement of social protection",I
"Gheorghe Ciobota|Raul Sorin Fantana|Adriana Teodorescu","Traditional vs. Modern Approaches in Business English Teaching in the Economic Field","This paper aims to examine different techniques and approaches used in teaching and",I
"Gheorghe Suciu|Nicolae Barsan-Pipu|Ana Honiges","School Image in the Context of New Communication Technology","Reconsidering the strategy regarding the institutional image amongst students, parents and",I
"Alexandru Burda|Oana Mionel|Cristina Mihaescu","Internationalization of Higher Education. The Action Plan for Determining Foreign","The aim of this article is to present the concept of higher education internationalization as well as",I
"Oana Mihaela Orheian|Marius-Cristian Apetrei|Bogdanel Marian Dragut|Dominic Perez-Danielescu|Mirela Niculae|Monica Talaba","Comparison Between Customer Lifetime Value (CLV) and Traditional Measurement Tools","The ability to accurately predict the value of the customers of a company has huge impact on",M
"Cristiana Cristureanu|Nicolae Neacsu|Monica Nicoleta Neacsu|Mariana Balan|Daniela (Ioana) Carapancea|Emilia Vasile|Viorica Ionascu|Argentina Velea","Trust in Government: A Note from Nigeria","The concept of public health has evolved over time from the strict concern over treatment and",I
"Constanþa Chitiba|Viorica Ionascu|Dominic Perez-Danielescu|viorica.ionascu56@yahoo.com","Research and Development Services  Evolution and Structure","According to the international methodology and the National Economy Classification of",I
"Georgeta Ilie|Andreea Ileana Danielescu|Dominic Perez-Danielescu|Ion Croitoru|George Calota|Adriana-Mihaela Gornea|Radu-Daniel Loghin|Cristina Carmen Gruber|Gheorghe V. Lepadatu","The Assets Accounting  Support of the Lending Process Analysis","The financial documents underlying the analysis of credit are the annual accounts. The",M
"Iacob Baciu|Mihaela Daniela Vladu","Management Aspects of Budgeting Costs in the Modern Enterprises","The management of any activity need to know, first of all, the goals to be achieved and, on other",M
"Raluca Oana Ivan","The Role of Internal Audit in the Corporate Governance Process","The recent years brought a recognition on the importance of corporate governance in ensuring a quality of the financial statements and detecting fraud. The internal audit is a monitoring tool for the management thus is an important piece of the corporate governance mechanism. The objective of this paper is to examine on how the internal audit function can ensure a good corporate governance. Detailing we try to establish to what extent the internal audit serve as resource for the three parties involved in the corporate governance process.",M
"Agnes Ghibutiu|Georgeta Ilie|George Cornel Dumitrescu|Sarmiza Pencea|Constanta Chitiba|Anca Costea-Dunarintu|Iulia Monica Oehler-Sincai|Emilia Mary Balan|Virginia Campeanu|Dana Ghitac|Andreea Dragoi|Cristina Balgar|Dragos Marian Radulescu|Emilian M. Dobrescu|Edith Mihaela Dobre|Ecaterina Stanculescu|Daniel Bulin|Bazil Oglinda|Viorel Mionel|Oana Mionel|Alexandra Moraru|Madalina Tocan|Oana Chindris-Vasioiu|Irina Nicolau|Adina Musetescu|Cristian Stefan Craciun","Institutions and Organisms Involved in the Study of Marketing at International Level","Nowadays, marketing is experiencing a great development on both plans - theoretical and",M
"Victor Munteanu|Lavinia Copcinschi|Anda Laceanu|Carmen Luschi","Financial Reporting from the Reference Theories Perspective","International accounting standards are underpinned by a normative approach of accounting, in the",M
"Gheorghe H. Popescu|Elvira Nica|Ileana Nicula|Gabriel I. Nastase|Mirela Catalina (Vint) Turkes|Roxana Arabela Dumitrascu|Landi Gushi|Frederik Cucllari|Mirela Cini|Luminita Georgeta Jalba|Elvira Nica|Gheorghe H. Popescu|Ligia Prodan|Raluca Georgiana Moscu|Carmen Judith Grigorescu|Vadim Dumitrascu|Liliana-Aurora Constantinescu|Adrian Constantinescu|Mirela Niculae|Gheorghe H. Popescu|Elvira Nica|Jaya Kumari Pandey|Abhishek K. Chintu|Rahul Ranjan|Ioan Mircea Zarie|Cristina Cojocaru|Gabriel I. Nastase|Irina Raicu|Mirela Catalina (Vint) Turkes|Elvira Nica|Gheorghe H. Popescu|Roxana Arabela Dumitrascu|Luminita Georgeta Jalba","Rising Problems Concerning the Accounting of Incomes","In the present context, the incomes are very important because they show the",M
"Virgil Adascalitei|Adina Musetescu|Andreas Fruth|Eugen Nicolaescu|Manoela Popescu|Diana Coconoiu|coconoiu_diana@yahoo.com|Liliana-Aurora Constantinescu|Adrian Constantinescu|Radu Musetescu|Gheorghita Caprarescu|Daniela Georgiana Stancu|Georgiana Aron","The SWOT Analysis Between Myth and Reality","The aim of this paper is to question a visual instrument adopted by  some theorists and",M
"Gabriel I. Nastase|Mihaela Mocanu|Roxana Ionescu|Ion Stanciu|Bogdanel Dragut|Oana Mihaela Orheian|Daniela Vladu|Cristina Balaceanu|Diana Apostol|Alexandru Burda|Andreea-Monica Predonu|Florin Untaru|Cristina Mihaescu","Current Issues in Teaching Business English to University Students","Business English has gained importance lately, as more and more students prepare for a job in the",I
"Mirela-Oana Pintea|Melinda-Timea Fulop|Ion Gr. Ionescu","Efficient Corporate Strategies for Short and Medium Stages","As a result of the presented material, we concluded that the firm competitive strategy of economic enterprises, its a way of action who permits the description of a mission and the perimeter of development of global activities organization, but also the modalities of creation or increase, which compose the diverse values of activities.",M
"Petru Balogh|Pompiliu Golea|Remus Christian Moraru|Gabriela Stanciulescu|Balwant Singh Mehta|Megha Shree|A. Roller|A. Zubic|Mihaela Nicoara","Need and Importance of Diagnostic Evaluation in Travel Agencies","If we know the position of an economic entity in the sector/branch of activity or if we detect failures sighted to develop a diagnostic activity level. A particularly delicate for a financial analyst is the way in which you assess economic and financial indicators that were included in the diagnostic methodology. To make comparisons of the economic and financial situation and performance among firms in developed countries there are specialized state or private bodies showing annual rates average financial sectors.From this information we can conclude that the most profitable sectors, we can see the position of the economic entity from the competition.",M
"Mariana Rodica Tirlea|Angela Timush|Remus Christian Moraru|Elisabeta Ilona Molnar|Adriana Anca Cristea|Mihaela Simona Apostol|Tatiana Corina Dosescu|Elisabeta Ilona Molnar|Remus Christian Moraru|Roxana Ionescu|Eleonora Mihaela Constantinescu|Mariana Rodica Tirlea|Rodica Perciun|Oana Maria Albescu|Casiana Radut|Gheorghe Lepadatu","Financial Instruments in Modern Accounting Management","The provision of transparent and useful information on market participants and their transaction is essential for an orderly and efficient market, and it is one of the most important preconditions for imposing market discipline. Left to themselves, markets may not generate sufficient levels of disclosure. Market forces would normally balance the marginal benefits and marginal costs of additional information disclosure and the end result may not be what the market participants really need.",M
"Georgeta Ilie|Victor Munteanu|Lavinia Copcinschi|Anda Laceanu|Carmen Luschi|Cristina Balaceanu|Diana Apostol|Mirela Dogaru|Sorin Adrian Ciupitu|Andreea Ana-Maria Alexe|Victor Munteanu|Alice Tinta|Lavinia Copcinschi|Simina Vera|Anda Laceanu|Carmen Luschi|Narcisa Isaila|Andreea Monica Predonu|Sorin Adrian Ciupitu|Daniela Tudorache|Viorel Craciuneanu|Daniel Stefan|Constanta Aurelia Chitiba|Anca Costea-Dunarintu|Luminita Dragne|Agata Mihaela Popescu|George Dorel Matei|Ana-Maria Ramona Stancu|Ion Lungu|Liliana Aurora Constantinescu|Claudia Gabriela Bentoiu|Cristina Athu|Gratiela Ghic|Adriana Danis|Victor Munteanu|Alice Tinta|Simina Vera|Emilia-Ancuta Corovei|Nicoleta Magdalena Iacob|Claudia Gabriela Bentoiu|Gratiela Ghic|Cristina Athu|Ana-Maria Dinu|Petre Prisecaru|Gheorghe Ciobota|Argentina Velea|Alexandru Burda","Components and Influencing Factors of Transport Costs in Logistics","Transport systems face the need to increase the capacity of moving materials and goods, while",M
"Oana-Nicoleta Retea|Viorel Craciuneanu|Daniel Stefan|Oana Mihaela Orheian|Sorin Adrian Ciupitu|Daniela Tudorache|Mirela Niculae|Beatrice-Tanta Strat|Dan-Marin Boaja|Florin Cristian Ciurlau|Ionut Alin Ciurlau|Maria Caracota Dimitriu|Razvan Constantin Caracota","Evaluating Investment Projects in Energy Industry","The investment objectives of electrical and heating industry are subject to technical, economic and",M
"Mirela Niculae|Beatrice-Tanta Strat|Mihaela Simionescu|Adriana Danis|Elena Bugudui|Alexandru Burda|Narcisa Isaila|Andreea Monica Predonu|Gabriel I. Nastase|Sorin Adrian Ciupitu","Theoretical Aspects Regarding the Intangible Assets","Identifying an intangible asset requires a set of cumulative conditions that must be met with,",M
"Gheorghe Lepadatu","Modern Entities Through Cost Leadership","The doctrine of western European, especially French, concerning driving through the costs is defined as",M
"Georgeta Ilie|Teodora Viorica Farcas|Adriana Tiron Tudor|Petru Balogh|Pompiliu Golea|Emilia Klepczarek|Cipriana Sava|Liliana Aurora Constantinescu|Marius Eugen Radu|Alexandra-Andreea Voicu|Roxana-Mihaela Ionita|Elena Pindiche","Diversification of Leisure Tourism in the Black Sea Coast","Romanian coastline offers many accommodation options, the tourists have at their disposal over",M
"Marin Ciocarlan|Ion Cochina|Oana Maria Milea|Emilia Pascu|Petronela-Sonia Nedea|Constantin Anghelache|Madalina-Gabriela Anghel|Constantin Georgescu|Maria Madalina Voinea","Accounting Scandals versus Tax Haven","Accounting is the art of recording transactions in the best way possible so as to allow the reader to",M
"Gabriela Tigu|Alina Ioana MIhaela Tapescu|Katalin Juhasz-Dora|Dominic Perez-Danielescu|Pompiliu Golea|Petru Balogh|Gabriel Cristian Sabou|Alina Cerasela Aluculesi|Georgica Gheorghe|Puiu Nistoreanu|Adriana Teodorescu|Mihaela Simona Apostol|Adriana Anca Cristea|Tatiana Corina Dosescu|Elena-Monica Cretu|Raluca-Maria Apetrei|Ion Talaba|George Erdeli|Aurel Gheorghilas|Corina Gheorghilas|Gabriela cecilia Stanciulescu|Gabriela Nicoleta Diaconescu|Nicolae Lupu|Ana-Maria Nica|Nicoleta Magdalena Iacob|Costinela-Luminita Defta|Alina Gheorghe|Mihaela Simona Apostol|Adriana Anca Cristea|Tatiana Corina Dosescu|Elena Pindiche|Roxana-Mihaela Ionita","The Evolution of Global Economy and the Impact on the Tourism Sector","The economical importance of the tourism which is visible in the degree of working force utilization, in the",M
"Gabriela Cecilia Stanciulescu|Gabriela Nicoleta Diaconescu|Dan Mihnea Diaconescu|Daniela Penu|Anamaria Tepes-Bobescu|Ileana Sorina Rakos","Implementing Target Costing Method in a Construction Project","Article discusses the implementation of target costing method in a construction project that",M
"Dumitru Mazilu|Valentina Zaharia|Ivona Stoica|Argentina Velea","Monitoring quality in the management of food enterprises","At international level, the question of providing a balanced diet, the intake",M
"Robert Chira|Mariana Rodica Tirlea|Gheorghe Lepadatu|Viorica Ionascu|Ionut Mersoiu|Dragos Barladeanu","The Future of the Correlation between Taxation and Accounting in the Era of Globalization","Accounting-taxation correlation can outline - for the next period - by the",M
"Ion Stanciu|Emilia Pascu|Maria Dimitriu|Maria-Ramona Dinu|Razvan Constantin Caracota|Paula Dina|Daniela Simona Nenciu|Aurel Serb|Victor Munteanu|Lavinia Copcinschi|Anda Laceanu|Carmen Luschi","Internal Audit Impact on Optimization of Financial-Accounting Management Decision in Public Entities","In public entities, like in any other organization, management, the leading",M
"Viorica Puscaciu|Mirela Mihalache|Rose-Marie Puscaciu|Viorica Ionascu|Gheorghe Lepadatu|Dragos Barladeanu|Ionut Mersoiu","The Generalization of the Application of International Accounting Standards in the Contemporary Business Environment","The internationalization of financial markets, the development of more",M
"Cipriana Sava|Sabin Romulus Clesiu|Andreea Baltaretu|Cristina Balaceanu|Diana Tudor|Gabriel I. Nastase|Camelia Pavel|Roxana Ionescu|Viorica Puscaciu|Mirela Mihalache|Rose-Marie Puscaciu","Transport and Environment","The aim of this research is to draw the attention to the inconvenient",M
"Carmen Judith Grigorescu|Raluca Georgiana Moscu|Ligia Prodan","Analyzing the Logistic Regression of an Econometric Model with Qualitative Variables","It is our intention in this paper to highlight the role and importance of the",M
"Adina Musetescu|Irina Nicolau|Cristina Athu","Challenges of Managers Cultural Differences for the International Business Environment","Certainly people of different cultures have different opinions regarding",M
"Adriana Anca Cristea|Mihaela Simona Apostol|Tatiana Corina Dosescu|Elena Pindiche|Roxana Mihaela Ionita|Raluca Georgiana Moscu|Ligia Prodan|Carmen Judith Grigorescu","An Analysis of the Capital Structure for Companies Listed on the Bucharest Stock Exchange","This paper employs a new database, which contains the market and accounting data from more",M
"Monica Nicoleta Neacsu|Ion Gr. Ionescu|Fruth Andreas|Monica Neacsu","Online Consumer Reviews as Marketing Instrument","Consumers recommendations (as word-of-mouth promotion) always",M
"Radu Dorin Lenghel|Adriana Anca Cristea|Mihaela Simona Apostol|Tatiana Corina Dosescu|Camelia Moraru|Roxana Mihaela Ionita|Elena Pîndiche|Oana Mihaela Orheian","Negotiator-Key Factor During a Successful International Negotiation Abstract:Negotiation is the first step in concluding a contract. The main role in the","Negotiation is the first step in concluding a contract. The main role in the",F
"Elena Ilie|Dina Maria Lut|Alina Lazoc","The Impact of Innovation on Organizational Effectiveness in the Context of Knowledge-Based Economy","Of the three elements that form the so -called  knowledge triangle  of",M
"Cristina Balgar|Andreea Dragoi|M. Rashid Malik|Rekha Prasad|Paul Calanter|Ecaterina Stanculescu|Gheorghe Suciu|Nicolae Barsan-Pipu|Dominic Perez-Danielescu","Marketing Strategies in the On-Line Business Era","The paper is meant to found out those motivations and trends of demand, be it for products-no",M
